mass_ratio chirp_mass a_1 a_2 tilt_1 tilt_2 phi_12 phi_jl luminosity_distance dec ra theta_jn psi phase geocent_time
0.748742555005697 27.44734093390207 0.4 0.3 0.5 1.0 1.7 0.3 4282.929041781772 -1.2108 1.375 0.7786452175277729 2.659 1.3 1126259642.413
0.3641737470189665 47.86302890828142 0.4 0.3 0.5 1.0 1.7 0.3 3534.0916914237864 -1.2108 1.375 0.948097318593989 2.659 1.3 1126259642.413
0.9150731522128 59.22726153546864 0.4 0.3 0.5 1.0 1.7 0.3 4203.921858785997 -1.2108 1.375 2.2943607946962246 2.659 1.3 1126259642.413
0.967171127596768 55.86519477489071 0.4 0.3 0.5 1.0 1.7 0.3 3212.787260967113 -1.2108 1.375 2.167973069578943 2.659 1.3 1126259642.413
0.8604294713905392 79.68313996143613 0.4 0.3 0.5 1.0 1.7 0.3 4112.9701200406325 -1.2108 1.375 0.8350708452416842 2.659 1.3 1126259642.413
0.6801340385857289 64.74059854064073 0.4 0.3 0.5 1.0 1.7 0.3 4926.417897097192 -1.2108 1.375 0.7092174398101441 2.659 1.3 1126259642.413
0.798500626978685 62.95650839824519 0.4 0.3 0.5 1.0 1.7 0.3 2440.5397573540085 -1.2108 1.375 1.352098428323367 2.659 1.3 1126259642.413
0.24667268218978733 34.27366284021161 0.4 0.3 0.5 1.0 1.7 0.3 2458.2458044878217 -1.2108 1.375 1.0187522842495293 2.659 1.3 1126259642.413
0.4653289596436305 45.168044891914846 0.4 0.3 0.5 1.0 1.7 0.3 827.3853699169872 -1.2108 1.375 1.2901747620430006 2.659 1.3 1126259642.413
0.5982737446990476 64.61158573833026 0.4 0.3 0.5 1.0 1.7 0.3 3101.325683812918 -1.2108 1.375 1.9001974528145298 2.659 1.3 1126259642.413
0.9307967753729 42.97469998659485 0.4 0.3 0.5 1.0 1.7 0.3 2852.4598017523836 -1.2108 1.375 1.3846984987662174 2.659 1.3 1126259642.413
0.9155206559769424 79.01758900921895 0.4 0.3 0.5 1.0 1.7 0.3 1942.6381136755163 -1.2108 1.375 1.750585714552676 2.659 1.3 1126259642.413
0.24795194413240687 33.62065454575219 0.4 0.3 0.5 1.0 1.7 0.3 3664.599913513095 -1.2108 1.375 2.682116079884737 2.659 1.3 1126259642.413
0.8623486607948189 38.793794089108644 0.4 0.3 0.5 1.0 1.7 0.3 4982.261533515811 -1.2108 1.375 1.0066791278530942 2.659 1.3 1126259642.413
0.9638690394428394 44.38634383601734 0.4 0.3 0.5 1.0 1.7 0.3 3841.1971058497697 -1.2108 1.375 1.0713519087869714 2.659 1.3 1126259642.413
0.813497330941786 61.12496060494234 0.4 0.3 0.5 1.0 1.7 0.3 1988.7745918843364 -1.2108 1.375 2.7552172374818142 2.659 1.3 1126259642.413
0.9233212473254295 51.887547096304594 0.4 0.3 0.5 1.0 1.7 0.3 2030.0143633211512 -1.2108 1.375 1.009426365707201 2.659 1.3 1126259642.413
0.5086499602316296 50.94887439090516 0.4 0.3 0.5 1.0 1.7 0.3 1704.8626870704747 -1.2108 1.375 1.2230044962538307 2.659 1.3 1126259642.413
0.6080504280536833 27.070010559261593 0.4 0.3 0.5 1.0 1.7 0.3 1269.4092992930996 -1.2108 1.375 3.017511428913088 2.659 1.3 1126259642.413
